timestamp,value,is_anomaly,anomaly
1,0,0,True
2,101,0,True
3,1828,0,False
4,1822,0,False
5,1918,0,False
6,2082,0,False
7,2204,0,False
8,2516,0,False
9,2503,0,False
10,2528,0,False
11,2615,0,False
12,2342,0,False
13,2101,0,False
14,2101,0,False
15,2235,0,False
16,2254,0,False
17,2257,0,False
18,1868,0,False
19,1714,0,False
20,1466,0,False
21,1562,0,False
22,1462,0,False
23,1542,0,False
24,1612,0,False
25,1546,0,False
26,1707,0,False
27,1749,0,False
28,1898,0,False
29,1960,0,False
30,1998,0,False
31,2217,0,False
32,2335,0,False
33,2229,0,False
34,2644,0,False
35,2550,0,False
36,2109,0,False
37,2135,0,False
38,2372,0,False
39,2353,0,False
40,2458,0,False
41,2315,0,False
42,1797,0,False
43,1686,0,False
44,1511,0,False
45,1369,0,False
46,1444,0,False
47,1415,0,False
48,1462,0,False
49,1578,0,False
50,1738,0,False
51,1846,0,False
52,1905,0,False
53,1941,0,False
54,1976,0,False
55,2035,0,False
56,2167,0,False
57,2257,0,False
58,2499,0,False
59,2629,0,False
60,2344,0,False
61,2195,0,False
62,2277,0,False
63,2236,0,False
64,2215,0,False
65,2126,0,False
66,1812,0,False
67,1498,0,False
68,1556,0,False
69,1529,0,False
70,1554,0,False
71,1610,0,False
72,1681,0,False
73,1668,0,False
74,1739,0,False
75,1669,0,False
76,1772,0,False
77,1804,0,False
78,1909,0,False
79,2182,0,False
80,2464,0,False
81,2672,0,False
82,2577,0,False
83,2401,0,False
84,2408,0,False
85,1891,0,False
86,2048,0,False
87,2267,0,False
88,2407,0,False
89,2287,0,False
90,1993,0,False
91,1635,0,False
92,1658,0,False
93,1524,0,False
94,1617,0,False
95,1666,0,False
96,1605,0,False
97,1686,0,False
98,1672,0,False
99,1734,0,False
100,1788,0,False
101,1932,0,False
102,1986,0,False
103,2192,0,False
104,2304,0,False
105,2363,0,False
106,2409,0,False
107,2427,0,False
108,2376,0,False
109,2217,0,False
110,2167,0,False
111,2294,0,False
112,2313,0,False
113,2156,0,False
114,1900,0,False
115,1555,0,False
116,1523,0,False
117,1452,0,False
118,1683,0,False
119,1555,0,False
120,1548,0,False
121,1658,0,False
122,1740,0,False
123,1675,0,False
124,1742,0,False
125,1736,0,False
126,1879,0,False
127,2003,0,False
128,2239,0,False
129,2361,0,False
130,2537,0,False
131,2484,0,False
132,2344,0,False
133,2109,0,False
134,2277,0,False
135,2289,0,False
136,2243,0,False
137,2256,0,False
138,1791,0,False
139,1602,0,False
140,1541,0,False
141,1442,0,False
142,1504,0,False
143,1466,0,False
144,1489,0,False
145,1644,0,False
146,1624,0,False
147,1681,0,False
148,1857,0,False
149,1765,0,False
150,1863,0,False
151,2110,0,False
152,1925,0,False
153,2280,0,False
154,2387,0,False
155,2328,0,False
156,2226,0,False
157,2090,0,False
158,2002,0,False
159,2086,0,False
160,2064,0,False
161,2175,0,False
162,1975,0,False
163,1594,0,False
164,1485,0,False
165,1435,0,False
166,1477,0,False
167,1510,0,False
168,1472,0,False
169,1497,0,False
170,1624,0,False
171,1688,0,False
172,1719,0,False
173,1647,0,False
174,1957,0,False
175,2020,0,False
176,2250,0,False
177,2303,0,False
178,2291,0,False
179,2430,0,False
180,2251,0,False
181,2029,0,False
182,2078,0,False
183,2030,0,False
184,2003,0,False
185,2176,0,False
186,1869,0,False
187,1660,0,False
188,1389,0,False
189,1340,0,False
190,1350,0,False
191,1474,0,False
192,1473,0,False
193,1515,0,False
194,1499,0,False
195,1538,0,False
196,1721,0,False
197,1738,0,False
198,1765,0,False
199,1972,0,False
200,2029,0,False
201,2115,0,False
202,2292,0,False
203,2283,0,False
204,2077,0,False
205,2055,0,False
206,2080,0,False
207,2167,0,False
208,2221,0,False
209,2012,0,False
210,1739,0,False
211,1432,0,False
212,1347,0,False
213,1326,0,False
214,1322,0,False
215,1344,0,False
216,1403,0,False
217,1438,0,False
218,1588,0,False
219,1558,0,False
220,1696,0,False
221,1643,0,False
222,1727,0,False
223,1799,0,False
224,1809,0,False
225,2146,0,False
226,2220,0,False
227,2120,0,False
228,2194,0,False
229,2026,0,False
230,2165,0,False
231,2042,0,False
232,2052,0,False
233,2086,0,False
234,1710,0,False
235,1462,0,False
236,1431,0,False
237,1478,0,False
238,1353,0,False
239,1376,0,False
240,1409,0,False
241,1551,0,False
242,1652,0,False
243,1717,0,False
244,1610,0,False
245,1811,0,False
246,1859,0,False
247,2014,0,False
248,2234,0,False
249,2253,0,False
250,2369,0,False
251,2288,0,False
252,2258,0,False
253,2033,0,False
254,2136,0,False
255,2117,0,False
256,2238,0,False
257,2076,0,False
258,1938,0,False
259,1526,0,False
260,1431,0,False
261,1333,0,False
262,1347,0,False
263,1410,0,False
264,1433,0,False
265,1505,0,False
266,1698,0,False
267,1719,0,False
268,1765,0,False
269,1690,0,False
270,1931,0,False
271,2057,0,False
272,2118,0,False
273,2240,0,False
274,2287,0,False
275,2487,0,False
276,2135,0,False
277,2060,0,False
278,2084,0,False
279,2056,0,False
280,2123,0,False
281,2128,0,False
282,1852,0,False
283,1488,0,False
284,1351,0,False
285,1300,0,False
286,1386,0,False
287,1355,0,False
288,1419,0,False
289,1389,0,False
290,1597,0,False
291,1639,0,False
292,1688,0,False
293,1600,0,False
294,1884,0,False
295,1906,0,False
296,2238,0,False
297,2204,0,False
298,2350,0,False
299,2334,0,False
300,2293,0,False
301,2132,0,False
302,1979,0,False
303,2149,0,False
304,2041,0,False
305,1938,0,False
306,1782,0,False
307,1535,0,False
308,1382,0,False
309,1282,0,False
310,1307,0,False
311,1183,0,False
312,1400,0,False
313,1436,0,False
314,1614,0,False
315,1605,0,False
316,1688,0,False
317,1696,0,False
318,1849,0,False
319,1954,0,False
320,2195,0,False
321,2266,0,False
322,2442,0,False
323,2347,0,False
324,2189,0,False
