timestamp,0,1,2,3,4,5,6,7,8,is_anomaly,anomaly
0,50,21,77,0,28,0,27,48,22,1,False
1,53,0,82,0,52,-5,29,30,2,0,False
2,37,0,76,0,28,18,40,48,8,0,False
3,37,0,79,0,34,-26,43,46,2,0,False
4,85,0,88,-4,6,1,3,83,80,1,False
5,55,-1,95,-3,54,-4,40,41,2,0,False
6,37,0,101,-7,28,0,64,73,8,0,False
7,37,0,78,-2,12,0,42,65,24,0,False
8,45,0,84,0,46,20,38,37,0,0,False
9,38,2,77,0,38,7,39,38,0,0,False
10,37,0,78,0,-2,5,41,81,40,0,False
11,41,0,100,0,38,-8,59,61,2,0,False
12,41,0,89,1,38,-16,48,50,2,0,False
13,47,0,85,-2,46,-4,38,39,0,0,False
14,49,0,79,0,46,-5,30,32,2,0,False
15,49,3,82,0,50,4,33,33,0,0,False
16,37,-318,105,-2,36,-4,68,69,0,0,True
17,44,3,77,0,44,2,33,33,0,0,False
18,106,2,108,0,70,0,1,38,36,1,False
19,37,-5,76,0,28,0,40,48,8,0,False
20,49,0,100,0,50,19,52,51,0,0,False
21,45,-1,87,-2,44,-4,43,43,0,0,False
22,37,4,80,0,-2,0,43,83,40,0,False
23,55,0,86,8,54,0,31,32,0,0,False
24,55,3,88,3,54,0,32,33,2,0,False
25,37,0,74,0,26,-1,38,48,10,0,False
26,37,0,106,0,36,3,68,69,2,0,False
27,49,0,107,0,46,-16,58,60,2,0,False
28,79,5,83,0,-46,0,4,130,126,1,False
29,51,0,79,0,52,29,28,27,0,0,False
30,59,4,84,0,60,24,25,24,0,0,False
31,37,0,108,0,30,-21,71,77,6,0,False
32,39,5,77,0,38,0,37,38,0,0,False
33,51,-5,81,0,52,0,30,30,0,0,False
34,49,0,77,0,46,-9,29,31,2,0,False
35,46,2,77,0,44,-19,32,34,2,0,False
36,56,0,81,0,56,0,24,24,0,0,False
37,37,0,105,0,34,4,68,71,4,0,False
38,76,0,81,-2,-40,13,5,122,118,1,False
39,56,0,80,0,56,7,24,23,0,0,False
40,41,2,76,0,42,11,35,35,0,0,False
41,41,1,85,0,38,0,44,46,2,0,False
42,49,0,95,1,50,2,46,46,0,0,False
