timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,is_anomaly,anomaly
0,6,10,5,6,3,10,6,4,6,14,3,6,2,9,4,11,4,10,5,8,2,7,9,0,8,14,6,6,0,10,2,7,0,False
1,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,0,False
2,4,7,5,5,3,7,8,2,7,7,6,9,0,8,4,8,1,4,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0,False
3,1,6,1,4,2,7,7,0,7,7,6,8,0,8,3,8,2,2,1,3,1,7,7,1,8,7,6,8,0,8,3,8,0,False
4,1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8,1,4,1,3,1,7,7,1,8,7,6,9,0,8,3,8,0,False
5,1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,0,False
6,4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,0,False
7,2,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,1,4,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0,False
8,1,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8,5,10,6,8,4,6,6,2,7,7,6,10,0,9,4,8,0,False
9,1,3,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0,8,0,5,0,7,7,4,4,7,6,8,0,8,0,8,0,False
10,7,14,6,8,4,10,7,2,5,11,5,6,2,9,5,12,1,3,2,2,0,7,7,1,7,13,6,8,0,8,1,8,0,False
11,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,7,11,6,6,3,8,8,3,6,13,4,5,2,8,6,10,0,False
12,3,8,4,6,2,7,7,0,7,13,6,8,0,8,1,8,2,5,4,4,1,7,7,0,7,13,6,8,0,8,1,8,0,False
13,2,5,3,3,1,7,8,1,7,14,6,7,0,8,1,7,3,11,6,8,7,11,6,1,6,8,4,5,3,8,5,9,0,False
14,1,4,2,2,1,7,7,1,7,13,6,8,0,8,1,8,3,7,4,5,1,6,8,1,8,14,7,8,0,8,1,7,0,False
15,2,9,3,7,3,7,7,0,7,7,6,8,0,8,3,8,2,11,2,9,2,7,7,0,8,7,6,8,0,8,3,8,0,False
16,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,0,False
17,1,5,1,3,1,7,7,1,8,7,6,8,0,8,3,8,5,12,5,7,3,9,8,3,6,13,4,5,2,8,5,10,0,False
18,2,8,3,6,1,9,7,0,8,14,5,8,0,8,1,8,2,5,3,3,1,7,8,1,8,14,6,7,0,8,1,7,0,False
19,5,10,4,6,2,9,7,3,6,13,4,5,2,9,4,10,2,8,3,6,2,7,7,0,7,13,6,8,0,8,1,8,0,False
20,3,7,4,5,2,7,7,0,8,14,6,8,0,8,1,8,1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8,0,False
21,2,11,2,8,4,7,7,0,7,7,6,8,0,8,3,8,1,9,0,6,1,7,7,5,3,7,6,8,0,8,0,8,0,False
22,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8,0,False
23,0,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,7,14,6,8,4,10,6,4,6,14,3,6,2,8,6,10,0,False
24,1,4,2,3,1,7,8,0,6,13,6,8,0,8,0,8,1,3,2,2,1,7,7,1,7,13,6,8,0,8,1,8,0,False
25,0,3,1,2,1,7,7,1,6,7,6,8,0,8,2,8,3,9,5,6,3,7,7,0,7,13,6,9,0,8,1,8,0,False
26,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,6,14,6,8,3,8,7,2,5,13,4,5,2,8,6,10,0,False
27,4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7,3,7,5,5,5,9,7,2,4,8,5,5,3,9,5,6,0,False
28,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,4,5,6,5,4,8,9,4,5,7,6,9,3,8,8,7,0,False
